P.key,grill_type,is_frozen,item_material,sample_item_index,guess_grill_correct,thumbs_up_score
0,Propane,false,Hotdog,1,true,0.4
1,Propane,true,Hotdog,2,true,0.8
2,Propane,false,Hotdog,3,true,0.6
3,Propane,true,Hotdog,4,false,0.0
4,Propane,false,Hotdog,5,false,0.2
5,Propane,true,Hotdog,6,true,0.4
6,Propane,false,Hotdog,7,true,0.3
7,Propane,true,Hotdog,8,true,0.8
8,Propane,false,Hotdog,9,false,0.7
9,Propane,true,Hotdog,10,true,1.0
10,Propane,false,Hotdog,11,true,1.1
11,Propane,true,Hotdog,12,true,0.7
12,Propane,false,Hotdog,13,true,1.1
13,Propane,true,Hotdog,14,true,1.1
14,Propane,false,Hotdog,15,true,0.4
15,Propane,true,Hotdog,16,true,0.4
16,Propane,false,Hotdog,17,true,0.9
17,Propane,true,Hotdog,18,true,1.1
18,Propane,false,Hotdog,19,true,0.2
19,Propane,true,Hotdog,20,true,0.3
20,Propane,false,Hotdog,21,true,0.7
21,Propane,true,Hotdog,22,false,0.1
22,Propane,false,Hotdog,23,true,1.0
23,Propane,true,Hotdog,24,false,0.7
24,Propane,false,Hotdog,25,true,0.9
25,Propane,true,Hotdog,26,true,1.0
26,Propane,false,Hotdog,27,true,1.1
27,Propane,true,Hotdog,28,false,0.4
28,Propane,false,Hotdog,29,true,0.9
29,Propane,true,Hotdog,30,true,0.8
30,Propane,false,Hotdog,1,true,1.0
31,Propane,true,Hotdog,2,true,0.2
32,Propane,false,Hotdog,3,true,0.7
33,Propane,true,Hotdog,4,true,0.5
34,Propane,false,Hotdog,5,true,0.8
35,Propane,true,Hotdog,6,true,0.4
36,Propane,false,Hotdog,7,true,0.2
37,Propane,true,Hotdog,8,true,0.3
38,Propane,false,Hotdog,9,true,0.2
39,Propane,true,Hotdog,10,true,0.9
40,Propane,false,Hotdog,11,true,0.9
41,Propane,true,Hotdog,12,true,0.9
42,Propane,false,Hotdog,13,true,0.6
43,Propane,true,Hotdog,14,true,0.6
